Omega,31.41592654,,,,,,,,,,,,,,,,,,,,,,,,,,
n,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.080877717,0.37233393,81.021697,39391.18855,60.33490326,8.1,52.23490326,1.199744725,0.034186158,-0.063226818,5.228179677,7.983562004,0.67860277,,,,,,,,,,,,,,
0.163,0.176243853,0.22434022,179.661002,100486.7943,42.60548773,6.625,35.98048773,1.044154092,0.017905314,-0.075493552,15.68309837,15.85382139,2.584172886,,,,,,,,,,,,,,
0.24,0.234638503,0.135437072,211.568294,140297.4862,32.03864543,6.075,25.96364543,0.986062322,0.015731112,-0.076774691,23.76934529,19.27878197,4.626907673,,,,,,,,,,,,,,
0.312,0.265783481,0.08929227,210.417589,163718.5273,25.70449233,5.725,19.97949233,0.949192451,0.015189827,-0.077152771,29.84919455,20.60630608,6.429167495,,,,,,,,,,,,,,
0.379,0.284332614,0.064093989,197.382499,176576.8075,21.57401805,5.625,15.94901805,0.938435884,0.01484406,-0.077251509,35.06175919,21.27452523,8.063045063,,,,,,,,,,,,,,
0.439,0.29505251,0.049070448,182.816463,183502.5308,18.83267115,5.575,13.25767115,0.933075427,0.014504245,-0.077288722,39.57036506,21.52541614,9.449657684,,,,,,,,,,,,,,
0.49,0.301667997,0.040002876,170.151052,187018.0396,16.97938525,5.575,11.40438525,0.933027329,0.014275976,-0.077295258,43.32646603,21.62783649,10.59763988,,,,,,,,,,,,,,
0.531,0.305334438,0.034354873,156.201431,183868.0523,15.73849863,5.625,10.11349863,0.938194725,0.014270862,-0.077277196,45.25510233,21.1843391,11.24888406,,,,,,,,,,,,,,
0.561,0.307091096,0.030850454,125.401775,154837.0297,14.94776306,5.875,9.072763058,0.963558373,0.015278023,-0.077031061,40.46018287,18.17448645,10.1958869,,,,,,,,,,,,,,
0.579,0.308369727,0.028579754,68.035907,86335.81115,14.5079312,6.65,7.857931197,1.033369384,0.020177585,-0.075317952,24.37173656,10.66536043,6.175243687,,,,,,,,,,,,,,
0.585,0.311676146,0.023426722,14.775806,18837.70247,14.36849223,9.725,4.643492227,1.071253031,0.061815193,-0.046000284,5.452909647,2.013323529,1.177794264,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
omega,36.65191429,,,,,,,,,,,,,,,,,,,,,,,,,,
n,350,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.100375022,0.341668777,85.659985,42512.39736,56.42598515,7.975,48.45098515,1.191566564,0.031245912,-0.064774479,6.104767387,8.365744141,0.711088252,,,,,,,,,,,,,,
0.163,0.200767312,0.186199812,164.334045,97425.87069,38.28962881,6.65,31.63962881,1.046831207,0.018177734,-0.075393151,16.11194585,14.89455777,2.427812917,,,,,,,,,,,,,,
0.24,0.254276824,0.106623943,178.435284,129415.3761,28.20246614,6.1,22.10246614,0.988072268,0.01679679,-0.076712663,23.35318253,17.25260939,4.140626253,,,,,,,,,,,,,,
0.312,0.280922076,0.068578159,167.213518,145102.6274,22.38791605,5.9,16.48791605,0.966899313,0.01622413,-0.076980474,29.05399192,18.0830173,5.641901399,,,,,,,,,,,,,,
0.379,0.295565135,0.048294788,151.840922,153282.7843,18.70741488,5.825,12.88241488,0.958875352,0.01573883,-0.077065082,34.10677633,18.40854394,6.976838152,,,,,,,,,,,,,,
0.439,0.304156113,0.036685057,138.247784,157742.2483,16.27848429,5.8,10.47848429,0.956159195,0.015357128,-0.07710218,38.59346957,18.5319613,8.13553101,,,,,,,,,,,,,,
0.49,0.30932186,0.02972734,127.091712,159514.7899,14.65104778,5.825,8.826047784,0.958675463,0.01514834,-0.077084686,42.35474657,18.54282476,9.085984131,,,,,,,,,,,,,,
0.531,0.312010611,0.025459683,116.012112,156392.3797,13.56652704,5.875,7.691527037,0.963676128,0.015162361,-0.077046248,44.29040376,18.11421896,9.61865027,,,,,,,,,,,,,,
0.561,0.312629673,0.02274336,92.750436,131381.7674,12.88764128,6.1,6.787641276,0.985593447,0.016276548,-0.076719016,39.60922915,15.43556654,8.659352829,,,,,,,,,,,,,,
0.579,0.313525576,0.020912801,50.375081,73404.09335,12.50567314,6.9,5.605673142,1.051400307,0.022003154,-0.074196442,23.90889252,8.970676884,5.194021916,,,,,,,,,,,,,,
0.585,0.316083415,0.015683524,11.198212,16395.33982,12.39822298,10.175,2.223222984,1.063685033,0.071593454,-0.043774347,5.373718242,1.54953686,0.906479063,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
omega,41.88790205,,,,,,,,,,,,,,,,,,,,,,,,,,
n,400,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.1194785,0.311734244,88.126665,44748.87974,52.8476427,7.875,44.9726427,1.182520043,0.030060182,-0.065946264,6.818013035,8.537964643,0.725726995,,,,,,,,,,,,,,
0.163,0.221101051,0.155625945,148.498917,93517.51865,34.6449441,6.65,27.9949441,1.046500593,0.019151702,-0.075370337,16.19997894,13.86533451,2.260049525,,,,,,,,,,,,,,
0.24,0.26919224,0.08543387,149.289006,118136.82,25.11771029,6.2,18.91771029,0.997787563,0.017803503,-0.076533027,22.85192997,15.48273703,3.715856887,,,,,,,,,,,,,,
0.312,0.291860313,0.05386254,134.533987,129306.8027,19.79413935,6.05,13.74413935,0.981764129,0.017076913,-0.076780544,28.35241156,15.98479157,4.987254971,,,,,,,,,,,,,,
0.379,0.303999302,0.037508685,119.282522,134531.0408,16.4778585,6.025,10.4528585,0.978907485,0.016596579,-0.076811851,33.35820555,16.1440294,6.118587141,,,,,,,,,,,,,,
0.439,0.310990577,0.02829532,107.159985,137310.3104,14.30909176,6.025,8.284091764,0.97869751,0.016231879,-0.076826438,37.85050408,16.17522978,7.100925875,,,,,,,,,,,,,,
0.49,0.315210173,0.022824723,98.12603,138745.4905,12.86204032,6.025,6.837040315,0.978567914,0.015975094,-0.0768336,41.62300421,16.12959852,7.903503273,,,,,,,,,,,,,,
0.531,0.317899965,0.019452896,88.997475,135413.3936,11.89103721,6.075,5.816037207,0.983377723,0.0160311,-0.076762194,43.50562346,15.65695548,8.313843362,,,,,,,,,,,,,,
0.561,0.319891378,0.017328085,70.748487,113236.8091,11.26268025,6.325,4.937680251,1.006740929,0.017379797,-0.076288263,38.78303328,13.23046861,7.422292892,,,,,,,,,,,,,,
0.579,0.321899499,0.015780107,38.68304,63725.8315,10.90581743,7.1,3.805817432,1.062593303,0.023858748,-0.072977909,23.37865366,7.579719781,4.388657753,,,,,,,,,,,,,,
0.585,0.325572227,0.011423546,8.683428,14385.36397,10.7846683,10.15,0.634668299,1.065153055,0.070446061,-0.043704665,5.258617282,1.260432931,0.737353265,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
omega,44.36976024,,,,,,,,,,,,,,,,,,,,,,,,,,
n,423.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.128234029,0.298070045,88.456907,45439.93439,51.2622522,7.85,43.4122522,1.180621955,0.029733958,-0.066231761,7.098472394,8.561327893,0.727712871,,,,,,,,,,,,,,
